Question,Answer,Detected Language,Actual Language,Relevance Score,Correct Output,Timestamp
what are fertilizers?,Fertilizers are substances that are added to soil to improve the growth and quality of crops,en,en,5,True,2024-11-30 19:46:57
രാസവളങ്ങൾ എന്തൊക്കെയാണ്?,വിളകളുടെ വളർച്ചയും ഗുണനിലവാരവും മെച്ചപ്പെടുത്തുന്നതിന് മണ്ണിൽ ചേർക്കുന്ന വസ്തുക്കളാണ് രാസവളങ്ങൾ,ml,ml,5,True,2024-11-30 19:47:07
എന്താണ് കീട നിയന്ത്രണം?,ഒരു ജീവനക്കാരുടെ നിയന്ത്രണം അല്ലെങ്കിൽ മാനേജ്മെന്റ് ഒരു കീടമായി നിർവചിച്ചിരിക്കുന്നു;മനുഷ്യന്റെ പ്രവർത്തനങ്ങളിൽ അല്ലെങ്കിൽ പരിസ്ഥിതിയെക്കുറിച്ച് പ്രതികൂലമായി ബാധിക്കുന്ന ഏതെങ്കിലും മൃഗങ്ങൾ അല്ലെങ്കിൽ പ്ലാന്റ് അല്ലെങ്കിൽ ഫംഗസ് പോലുള്ളവ,ml,ml,5,True,2024-11-30 19:47:19
What is pest control?,"is the regulation or management of a species defined as a pest; such as any animal, plant or fungus that impacts adversely on human activities or environment",en,en,5,True,2024-11-30 19:47:30
How can I increase the yield of my potato crop?,"Potato yield can be increased by taking steps to improve soil fertility, such as using organic matter and maintaining proper soil pH",en,en,5,True,2024-11-30 19:47:39
എൻ്റെ ഉരുളക്കിഴങ്ങ് വിളയുടെ വിളവ് എങ്ങനെ വർദ്ധിപ്പിക്കാം?,ജൈവവസ്തുക്കൾ ഉപയോഗിക്കുകയും ശരിയായ മണ്ണിന്റെ ph ഉപയോഗിക്കുകയും ചെയ്യുന്നതുപോലെ മണ്ണിന്റെ ഫലഭൂയിഷ്ഠത മെച്ചപ്പെടുത്തുന്നതിനായി ഉരുളക്കിഴങ്ങ് വിളവ് വർദ്ധിപ്പിക്കാൻ കഴിയും,ml,ml,5,True,2024-11-30 19:47:50
what are different cassava diseases?,Cassava ,en,en,5,True,2024-11-30 20:42:16
what are fertilizers?,Fertilizers are substances that are added to soil to improve the growth and quality of crops,en,en,5,True,2024-11-30 20:42:29
Is crop rotation important in farming?,"This helps to prevent soil erosion and depletion, and can also help to control pests and diseases",en,en,5,True,2024-11-30 20:48:57
కాసావా వ్యాధి నిర్వహణకు స్థిరమైన విధానాలు ఏమిటి?,"జంతువులకు తగినంత ఆహారం, నీరు మరియు ఆశ్రయం అందించేలా చూసుకోవడం, అలాగే సాధారణ పశువైద్య చెక్-అప్‌లు మరియు టీకాల ద్వారా వారి ఆరోగ్యాన్ని కాపాడుతుంది",te,te,5,True,2024-11-30 21:09:55
why are fertilizers used in farming?, to improve the growth and quality of crops,en,en,5,True,2024-11-30 21:29:10
"what are the sustainable approaches to cassava disease management?

",breeding disease-resistant varieties and using natural pest control methods.,en,en,5,True,2024-11-30 21:30:02
కాసావా వ్యాధి నిర్వహణకు స్థిరమైన విధానాలు ఏమిటి?,"జంతువులకు తగినంత ఆహారం, నీరు మరియు ఆశ్రయం అందించేలా చూసుకోవడం, అలాగే సాధారణ పశువైద్య చెక్-అప్‌లు మరియు టీకాల ద్వారా వారి ఆరోగ్యాన్ని కాపాడుతుంది",te,te,5,True,2024-11-30 21:30:35
"కాసావా వ్యాధి నిర్వహణకు స్థిరమైన విధానాలు ఏమిటి?

","జంతువులకు తగినంత ఆహారం, నీరు మరియు ఆశ్రయం అందించేలా చూసుకోవడం, అలాగే సాధారణ పశువైద్య చెక్-అప్‌లు మరియు టీకాల ద్వారా వారి ఆరోగ్యాన్ని కాపాడుతుంది",te,te,5,True,2024-11-30 21:35:20
